siglas,universidad,nombre,rank,skill_label,skill_type,reuse_level,score,skill_uri
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,1,gestionar un equipo,skill/competence,cross-sector,0.6988,http://data.europa.eu/esco/skill/cb668e89-6ef5-4ff3-ab4a-506010e7e70b
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,2,crear soluciones para problemas,skill/competence,cross-sector,0.6737,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,3,preparar informes sobre asuntos relacionados con el trabajo,skill/competence,cross-sector,0.6612,http://data.europa.eu/esco/skill/918f5211-b99f-4b29-9a34-6e475583ef55
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,4,informar sobre la gestión general de una empresa,skill/competence,cross-sector,0.6563,http://data.europa.eu/esco/skill/307ffd2d-8fb3-43ff-8ad8-4052382f8f83
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,5,construir redes,skill/competence,transversal,0.6558,http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,6,tener competencias informáticas,skill/competence,cross-sector,0.6543,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,7,gestionar recursos humanos,skill/competence,cross-sector,0.6537,http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,8,evaluar el rendimiento del personal y los gestores de la empresa,skill/competence,cross-sector,0.6525,http://data.europa.eu/esco/skill/5cfd2ec5-ef34-4e3b-9397-e580b903d716
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,9,desarrollar normas de información,skill/competence,cross-sector,0.6521,http://data.europa.eu/esco/skill/1b3fc0e0-c6f9-45fc-9c6e-14bbba662979
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,10,enseñar principios de gestión empresarial,skill/competence,cross-sector,0.6499,http://data.europa.eu/esco/skill/29d3663f-348a-4b67-a8db-b94fd3912385
