siglas,universidad,nombre,rank,skill_label,skill_type,reuse_level,score,skill_uri
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,1,aplicar la gestión de conflictos,skill/competence,cross-sector,0.8588,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,2,gestionar recursos humanos,skill/competence,cross-sector,0.8531,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,3,gestionar un equipo,skill/competence,cross-sector,0.848,http://data.europa.eu/esco/skill/cb668e89-6ef5-4ff3-ab4a-506010e7e70b
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,4,respetar las normas internas de una empresa,skill/competence,cross-sector,0.8451,http://data.europa.eu/esco/skill/f5f5b244-6cea-4fbc-8a50-8f712791bc09
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,5,tener espíritu emprendedor,skill/competence,transversal,0.8445,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,6,gestionar empresas de producción,skill/competence,cross-sector,0.8429,http://data.europa.eu/esco/skill/435d1751-8667-41ec-8b32-865b7cd3c684
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,7,sensibilizar sobre el medioambiente,skill/competence,cross-sector,0.8423,http://data.europa.eu/esco/skill/8abdc43c-2bfd-417c-97c2-27fcdaf53171
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,8,realizar gestión de clientes,skill/competence,cross-sector,0.8423,http://data.europa.eu/esco/skill/91306a20-9b81-4f3d-97eb-f5368b607da7
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,9,legislación ambiental en materia de agricultura y silvicultura,knowledge,cross-sector,0.841,http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,10,enseñar principios de gestión empresarial,skill/competence,cross-sector,0.839,http://data.europa.eu/esco/skill/29d3663f-348a-4b67-a8db-b94fd3912385
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,11,ejercer la administración,skill/competence,cross-sector,0.8364,http://data.europa.eu/esco/skill/151174e2-2a27-4c1e-be68-6446278d34b7
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,12,aplicar conocimientos sobre el comportamiento humano,skill/competence,cross-sector,0.8357,http://data.europa.eu/esco/skill/a0e23745-6ba4-45e2-9510-df6e71ed1230
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,13,apreciar diversas expresiones culturales y artísticas,skill/competence,transversal,0.8356,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,14,tomar decisiones empresariales estratégicas,skill/competence,cross-sector,0.8356,http://data.europa.eu/esco/skill/f60c9e52-95fc-4ca1-a73c-18a491153b63
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,15,preparar informes sobre asuntos relacionados con el trabajo,skill/competence,cross-sector,0.8356,http://data.europa.eu/esco/skill/918f5211-b99f-4b29-9a34-6e475583ef55
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,16,identificarse con los objetivos de la compañía,skill/competence,cross-sector,0.8354,http://data.europa.eu/esco/skill/fc54bd7f-0c03-4fdd-af8c-5eb4021e716d
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,17,mantenerse al día sobre las innovaciones en el ámbito empresarial,skill/competence,cross-sector,0.8354,http://data.europa.eu/esco/skill/7f70572d-f0c1-4039-9954-b57dc69981f6
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,18,interactuar con el consejo de administración,skill/competence,cross-sector,0.8351,http://data.europa.eu/esco/skill/28f637e1-15fc-462d-ba10-5908fd438a0e
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,19,realizar la gestión de un evento,skill/competence,cross-sector,0.835,http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,20,participar en las operaciones cotidianas de la empresa,skill/competence,cross-sector,0.835,http://data.europa.eu/esco/skill/ce4cbc3a-bde0-43b4-9526-e643c4fe5b04
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,21,tener conciencia de los riesgos sanitarios,skill/competence,transversal,0.8347,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,22,gestionar el impacto medioambiental de las operaciones,skill/competence,cross-sector,0.8338,http://data.europa.eu/esco/skill/d86babea-bf8b-4552-81a8-daf706066ad6
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,23,asesorar sobre procedimientos de gestión de residuos,skill/competence,cross-sector,0.8338,http://data.europa.eu/esco/skill/f82b05a7-128b-4a72-a815-044ff6062f62
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,24,utilizar servicios electrónicos,skill/competence,cross-sector,0.8335,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,25,demostrar voluntad de aprender,skill/competence,transversal,0.8335,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,1,sensibilizar sobre el medioambiente,skill/competence,cross-sector,0.857,http://data.europa.eu/esco/skill/8abdc43c-2bfd-417c-97c2-27fcdaf53171
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,2,legislación ambiental en materia de agricultura y silvicultura,knowledge,cross-sector,0.8546,http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,3,aplicar medidas de protección del medioambiente,skill/competence,cross-sector,0.853,http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,4,aplicar la gestión de conflictos,skill/competence,cross-sector,0.8511,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,5,"aplicar conocimientos científicos, tecnológicos y de ingeniería",skill/competence,transversal,0.8507,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,6,planificar procesos de fabricación,skill/competence,cross-sector,0.8499,http://data.europa.eu/esco/skill/7d0f33ea-e724-4d77-8b75-ee4fe66bb9ba
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,7,realizar todas las actividades de ingeniería de procesos,skill/competence,cross-sector,0.8497,http://data.europa.eu/esco/skill/8b9d609a-6d62-4d5c-9133-01d41979cfac
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,8,diseñar escombreras de minas,skill/competence,cross-sector,0.8496,http://data.europa.eu/esco/skill/cfbe1cdb-1738-45a1-b442-75cbda1fff06
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,9,tener competencias informáticas,skill/competence,cross-sector,0.8495,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,10,gestionar el impacto medioambiental de las operaciones,skill/competence,cross-sector,0.8493,http://data.europa.eu/esco/skill/d86babea-bf8b-4552-81a8-daf706066ad6
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,11,demostrar voluntad de aprender,skill/competence,transversal,0.8483,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,12,coordinar equipos de ingeniería,skill/competence,cross-sector,0.8478,http://data.europa.eu/esco/skill/7af6e9e8-1e11-4c0b-b7c6-ac96bbbbc674
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,13,examinar principios de ingeniería,skill/competence,cross-sector,0.847,http://data.europa.eu/esco/skill/8bc1c7da-c832-4896-a441-30d087c46aad
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,14,ingeniería ambiental,knowledge,cross-sector,0.8465,http://data.europa.eu/esco/skill/b1b118c4-3291-484e-b64d-6d51fd5da8b3
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,15,cumplir los compromisos,skill/competence,transversal,0.8463,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,16,evaluar el impacto ambiental de yacimientos y zonas industriales,skill/competence,cross-sector,0.8455,http://data.europa.eu/esco/skill/f12f094b-492f-4e88-b36b-50b8e58b7500
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,17,gestionar empresas de producción,skill/competence,cross-sector,0.8448,http://data.europa.eu/esco/skill/435d1751-8667-41ec-8b32-865b7cd3c684
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,18,respetar indicaciones de las recetas,skill/competence,cross-sector,0.8443,http://data.europa.eu/esco/skill/a0d96ce8-aeeb-4ffb-bd78-21c0598179ff
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,19,mantenerse al día sobre las innovaciones en el ámbito empresarial,skill/competence,cross-sector,0.844,http://data.europa.eu/esco/skill/7f70572d-f0c1-4039-9954-b57dc69981f6
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,20,tener conciencia de los riesgos sanitarios,skill/competence,transversal,0.844,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,21,trabajar de forma organizada,skill/competence,cross-sector,0.843,http://data.europa.eu/esco/skill/1258cc12-37bb-4a12-b219-9c3d6b294533
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,22,trabajar de forma organizada,skill/competence,cross-sector,0.843,http://data.europa.eu/esco/skill/1258cc12-37bb-4a12-b219-9c3d6b294533
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,23,garantizar la seguridad en el zona de producción,skill/competence,cross-sector,0.8425,http://data.europa.eu/esco/skill/ab239c75-dfcc-4f6c-9d11-75bb78049afc
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,24,interpretar las interfaces de comunicación gráfica,skill/competence,cross-sector,0.8421,http://data.europa.eu/esco/skill/ea99e1f2-ad03-4bb3-8960-1227fc76bb2a
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,25,tener espíritu emprendedor,skill/competence,transversal,0.8421,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,1,ingeniería ambiental,knowledge,cross-sector,0.8537,http://data.europa.eu/esco/skill/b1b118c4-3291-484e-b64d-6d51fd5da8b3
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,2,diseñar escombreras de minas,skill/competence,cross-sector,0.8466,http://data.europa.eu/esco/skill/cfbe1cdb-1738-45a1-b442-75cbda1fff06
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,3,aplicar medidas de protección del medioambiente,skill/competence,cross-sector,0.8461,http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,4,realizar auditorías ambientales,skill/competence,cross-sector,0.8456,http://data.europa.eu/esco/skill/60ab2bf7-c812-4a88-86c0-7c81a9b2f77c
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,5,gestionar el impacto medioambiental de las operaciones,skill/competence,cross-sector,0.8446,http://data.europa.eu/esco/skill/d86babea-bf8b-4552-81a8-daf706066ad6
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,6,sensibilizar sobre el medioambiente,skill/competence,cross-sector,0.8433,http://data.europa.eu/esco/skill/8abdc43c-2bfd-417c-97c2-27fcdaf53171
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,7,legislación ambiental en materia de agricultura y silvicultura,knowledge,cross-sector,0.8419,http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,8,aplicar la gestión de conflictos,skill/competence,cross-sector,0.8415,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,9,evaluar el impacto ambiental de yacimientos y zonas industriales,skill/competence,cross-sector,0.841,http://data.europa.eu/esco/skill/f12f094b-492f-4e88-b36b-50b8e58b7500
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,10,realizar actividades de limpieza de forma respetuosa con el medioambiente,skill/competence,cross-sector,0.8397,http://data.europa.eu/esco/skill/4fb7f781-9362-426a-9eb6-65c360f83e31
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,11,"aplicar conocimientos científicos, tecnológicos y de ingeniería",skill/competence,transversal,0.8396,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,12,asesorar sobre sistemas de gestión de riesgos ambientales,skill/competence,cross-sector,0.8396,http://data.europa.eu/esco/skill/a366bfc5-8d17-4792-a9f0-db0951528dda
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,13,supervisar el funcionamiento de los equipos,skill/competence,cross-sector,0.8377,http://data.europa.eu/esco/skill/ca17f0df-59e4-4ed2-9360-fc5325bc7151
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,14,coordinar equipos de ingeniería,skill/competence,cross-sector,0.8373,http://data.europa.eu/esco/skill/7af6e9e8-1e11-4c0b-b7c6-ac96bbbbc674
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,15,tener conciencia de los riesgos sanitarios,skill/competence,transversal,0.8369,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,16,realizar procedimientos de análisis de agua,skill/competence,cross-sector,0.8361,http://data.europa.eu/esco/skill/e80f9e50-71ff-4bb7-8b7d-eb232685d17f
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,17,garantizar el cumplimiento de la legislación ambiental,skill/competence,cross-sector,0.835,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,18,gestionar recursos humanos,skill/competence,cross-sector,0.8349,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,19,gestionar impacto ambiental,skill/competence,cross-sector,0.8347,http://data.europa.eu/esco/skill/d3a8ef9c-8572-438c-91dc-010537070be3
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,20,tener competencias informáticas,skill/competence,cross-sector,0.8345,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,21,actuar de enlace con profesionales del sector,skill/competence,cross-sector,0.8342,http://data.europa.eu/esco/skill/d1317634-ccea-44d0-9cdc-c863f9bf856b
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,22,asesorar sobre recuperación ambiental,skill/competence,cross-sector,0.8334,http://data.europa.eu/esco/skill/b422efe7-b151-4120-86ae-db11a48dd0fa
