universidad,siglas,nombre,carrera_epn_homologa,url,descripcion,perfil_ingreso,perfil_egreso,perfil_profesional
UNIVERSIDAD TECNOLÓGICA ECOTEC,ECOTEC,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD TECNOLÓGICA ECOTEC,ECOTEC,ECONOMÍA,Economía,,,,,
UNIVERSIDAD TECNOLÓGICA ECOTEC,ECOTEC,INGENIERÍA INDUSTRIAL,Ingeniería de la Producción,,,,,
UNIVERSIDAD TECNOLÓGICA ECOTEC,ECOTEC,MECATRÓNICA,Mecatrónica,,,,,
UNIVERSIDAD TECNOLÓGICA ECOTEC,ECOTEC,SOFTWARE,Ingeniería en Software,,,,,
ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ MANUEL FÉLIX LÓPEZ - ESPAM MFL,ESPAM MFL,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ MANUEL FÉLIX LÓPEZ - ESPAM MFL,ESPAM MFL,AGROINDUSTRIA,Agroindustria,,,,,
ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ MANUEL FÉLIX LÓPEZ - ESPAM MFL,ESPAM MFL,COMPUTACIÓN,Ciencias de la Computación,,,,,
ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ MANUEL FÉLIX LÓPEZ - ESPAM MFL,ESPAM MFL,ELECTRÓNICA Y AUTOMATIZACIÓN,Electrónica y Automatización,,,,,
ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ MANUEL FÉLIX LÓPEZ - ESPAM MFL,ESPAM MFL,INGENIERÍA AMBIENTAL,Ingeniería Ambiental,,,,,
ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ MANUEL FÉLIX LÓPEZ - ESPAM MFL,ESPAM MFL,INGENIERÍA DE LA PRODUCCIÓN,Ingeniería de la Producción,,,,,
UNIVERSIDAD AGRARIA DEL ECUADOR,UAE,AGROINDUSTRIA,Agroindustria,,,,,
UNIVERSIDAD AGRARIA DEL ECUADOR,UAE,COMPUTACIÓN,Ciencias de la Computación,,,,,
UNIVERSIDAD AGRARIA DEL ECUADOR,UAE,ECONOMÍA,Economía,,,,,
UNIVERSIDAD AGRARIA DEL ECUADOR,UAE,INGENIERÍA AMBIENTAL,Ingeniería Ambiental,,,,,
UNIVERSIDAD BOLIVARIANA DEL ECUADOR,UBE,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD BOLIVARIANA DEL ECUADOR,UBE,ECONOMÍA,Economía,,,,,
UNIVERSIDAD BOLIVARIANA DEL ECUADOR,UBE,ELECTRICIDAD,Ingeniería Eléctrica,,,,,
UNIVERSIDAD CASA GRANDE,UCG,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD DE LOS HEMISFERIOS,UDH,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD DE LOS HEMISFERIOS,UDH,INGENIERÍA AMBIENTAL,Ingeniería Ambiental,,,,,
UNIVERSIDAD DEL RÍO-UDR,UDR,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD DEL RÍO-UDR,UDR,ECONOMÍA,Economía,,,,,
UNIVERSIDAD ESTATAL AMAZÓNICA,UEA,AGROINDUSTRIA,Agroindustria,,,,,
UNIVERSIDAD ESTATAL AMAZÓNICA,UEA,INGENIERÍA AMBIENTAL,Ingeniería Ambiental,,,,,
UNIVERSIDAD ESTATAL DE BOLÍVAR,UEB,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD ESTATAL DE BOLÍVAR,UEB,AGROINDUSTRIA,Agroindustria,,,,,
UNIVERSIDAD ESTATAL DE BOLÍVAR,UEB,SOFTWARE,Ingeniería en Software,,,,,
UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,UISEK,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,UISEK,INGENIERÍA AMBIENTAL,Ingeniería Ambiental,,,,,
UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,UISEK,INGENIERÍA CIVIL,Ingeniería Civil,,,,,
UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,UISEK,MECATRÓNICA,Mecatrónica,,,,,
UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,UISEK,MECÁNICA,Ingeniería en Mecánica,,,,,
UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,UISEK,SOFTWARE,Ingeniería en Software,,,,,
UNIVERSIDAD TECNOLÓGICA ISRAEL,UISRAEL,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD TECNOLÓGICA ISRAEL,UISRAEL,ELECTRÓNICA Y AUTOMATIZACIÓN,Electrónica y Automatización,,,,,
UNIVERSIDAD TECNOLÓGICA ISRAEL,UISRAEL,SISTEMAS DE INFORMACIÓN,Ingeniería en Sistemas de Información,,,,,
UNIVERSIDAD TECNOLÓGICA ISRAEL,UISRAEL,TELECOMUNICACIONES,Telecomunicaciones,,,,,
UNIVERSIDAD DE INVESTIGACIÓN DE TECNOLOGÍA EXPERIMENTAL YACHAY,UITEY,AGROINDUSTRIA ALIMENTARIA,Agroindustria,,,,,
UNIVERSIDAD DE INVESTIGACIÓN DE TECNOLOGÍA EXPERIMENTAL YACHAY,UITEY,COMPUTACIÓN,Ciencias de la Computación,,,,,
UNIVERSIDAD DE INVESTIGACIÓN DE TECNOLOGÍA EXPERIMENTAL YACHAY,UITEY,FÍSICA,Física,,,,,
UNIVERSIDAD DE INVESTIGACIÓN DE TECNOLOGÍA EXPERIMENTAL YACHAY,UITEY,GEOLOGÍA,Ingeniería en Geología,,,,,
UNIVERSIDAD DE INVESTIGACIÓN DE TECNOLOGÍA EXPERIMENTAL YACHAY,UITEY,MATEMÁTICA,Matemática,,,,,
