siglas,universidad,nombre,rank,skill_label,skill_type,reuse_level,score,skill_uri
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,1,aplicar la gestión de conflictos,skill/competence,cross-sector,0.8588,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,2,gestionar recursos humanos,skill/competence,cross-sector,0.8531,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,3,gestionar un equipo,skill/competence,cross-sector,0.848,http://data.europa.eu/esco/skill/cb668e89-6ef5-4ff3-ab4a-506010e7e70b
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,4,respetar las normas internas de una empresa,skill/competence,cross-sector,0.8451,http://data.europa.eu/esco/skill/f5f5b244-6cea-4fbc-8a50-8f712791bc09
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,5,tener espíritu emprendedor,skill/competence,transversal,0.8445,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,6,gestionar empresas de producción,skill/competence,cross-sector,0.8429,http://data.europa.eu/esco/skill/435d1751-8667-41ec-8b32-865b7cd3c684
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,7,sensibilizar sobre el medioambiente,skill/competence,cross-sector,0.8423,http://data.europa.eu/esco/skill/8abdc43c-2bfd-417c-97c2-27fcdaf53171
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,8,realizar gestión de clientes,skill/competence,cross-sector,0.8423,http://data.europa.eu/esco/skill/91306a20-9b81-4f3d-97eb-f5368b607da7
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,9,legislación ambiental en materia de agricultura y silvicultura,knowledge,cross-sector,0.841,http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26
EPN,Escuela Politécnica Nacional,Licenciatura Administracion De Empresas,10,enseñar principios de gestión empresarial,skill/competence,cross-sector,0.839,http://data.europa.eu/esco/skill/29d3663f-348a-4b67-a8db-b94fd3912385
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,1,sensibilizar sobre el medioambiente,skill/competence,cross-sector,0.857,http://data.europa.eu/esco/skill/8abdc43c-2bfd-417c-97c2-27fcdaf53171
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,2,legislación ambiental en materia de agricultura y silvicultura,knowledge,cross-sector,0.8546,http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,3,aplicar medidas de protección del medioambiente,skill/competence,cross-sector,0.853,http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,4,aplicar la gestión de conflictos,skill/competence,cross-sector,0.8511,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,5,"aplicar conocimientos científicos, tecnológicos y de ingeniería",skill/competence,transversal,0.8507,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,6,planificar procesos de fabricación,skill/competence,cross-sector,0.8499,http://data.europa.eu/esco/skill/7d0f33ea-e724-4d77-8b75-ee4fe66bb9ba
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,7,realizar todas las actividades de ingeniería de procesos,skill/competence,cross-sector,0.8497,http://data.europa.eu/esco/skill/8b9d609a-6d62-4d5c-9133-01d41979cfac
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,8,diseñar escombreras de minas,skill/competence,cross-sector,0.8496,http://data.europa.eu/esco/skill/cfbe1cdb-1738-45a1-b442-75cbda1fff06
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,9,tener competencias informáticas,skill/competence,cross-sector,0.8495,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60
EPN,Escuela Politécnica Nacional,Ingenieria Agroindustria,10,gestionar el impacto medioambiental de las operaciones,skill/competence,cross-sector,0.8493,http://data.europa.eu/esco/skill/d86babea-bf8b-4552-81a8-daf706066ad6
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,1,ingeniería ambiental,knowledge,cross-sector,0.8537,http://data.europa.eu/esco/skill/b1b118c4-3291-484e-b64d-6d51fd5da8b3
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,2,diseñar escombreras de minas,skill/competence,cross-sector,0.8466,http://data.europa.eu/esco/skill/cfbe1cdb-1738-45a1-b442-75cbda1fff06
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,3,aplicar medidas de protección del medioambiente,skill/competence,cross-sector,0.8461,http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,4,realizar auditorías ambientales,skill/competence,cross-sector,0.8456,http://data.europa.eu/esco/skill/60ab2bf7-c812-4a88-86c0-7c81a9b2f77c
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,5,gestionar el impacto medioambiental de las operaciones,skill/competence,cross-sector,0.8446,http://data.europa.eu/esco/skill/d86babea-bf8b-4552-81a8-daf706066ad6
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,6,sensibilizar sobre el medioambiente,skill/competence,cross-sector,0.8433,http://data.europa.eu/esco/skill/8abdc43c-2bfd-417c-97c2-27fcdaf53171
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,7,legislación ambiental en materia de agricultura y silvicultura,knowledge,cross-sector,0.8419,http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,8,aplicar la gestión de conflictos,skill/competence,cross-sector,0.8415,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,9,evaluar el impacto ambiental de yacimientos y zonas industriales,skill/competence,cross-sector,0.841,http://data.europa.eu/esco/skill/f12f094b-492f-4e88-b36b-50b8e58b7500
EPN,Escuela Politécnica Nacional,Ingenieria Ambiental,10,realizar actividades de limpieza de forma respetuosa con el medioambiente,skill/competence,cross-sector,0.8397,http://data.europa.eu/esco/skill/4fb7f781-9362-426a-9eb6-65c360f83e31
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,1,demostrar conocimientos especializados sobre una disciplina,skill/competence,cross-sector,0.8607,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,2,gestionar datos de investigación,skill/competence,cross-sector,0.8524,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,3,crear una red profesional con investigadores y científicos,skill/competence,cross-sector,0.8432,http://data.europa.eu/esco/skill/cc61f9e5-d4fc-470e-8606-1ce865ff8386
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,4,gestionar recursos humanos,skill/competence,cross-sector,0.8431,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,5,realizar trabajos técnicos difíciles,skill/competence,cross-sector,0.8418,http://data.europa.eu/esco/skill/2d780738-9b34-40a3-adbb-590001f6ff86
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,6,tener competencias informáticas,skill/competence,cross-sector,0.84,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,7,gestionar un equipo,skill/competence,cross-sector,0.8375,http://data.europa.eu/esco/skill/cb668e89-6ef5-4ff3-ab4a-506010e7e70b
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,8,crear soluciones para problemas informativos,skill/competence,cross-sector,0.8364,http://data.europa.eu/esco/skill/4539aeca-b56f-4d03-ba86-8f675a7f2536
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,9,demostrar voluntad de aprender,skill/competence,transversal,0.8356,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b
EPN,Escuela Politécnica Nacional,Ciencias De Datos E Inteligencia Artificial,10,interpretar datos científicos para determinar la calidad del agua,skill/competence,cross-sector,0.8355,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,1,tener competencias informáticas,skill/competence,cross-sector,0.8571,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,2,utilizar servicios electrónicos,skill/competence,cross-sector,0.8528,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,3,ejecutar cálculos matemáticos analíticos,skill/competence,cross-sector,0.8526,http://data.europa.eu/esco/skill/31c69100-b612-4a61-8db5-fd314318854c
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,4,aplicar competencias matemáticas,skill/competence,cross-sector,0.8507,http://data.europa.eu/esco/skill/5dd01a1e-7ba0-4b7f-a76c-ed811c12bfde
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,5,aplicar la gestión de conflictos,skill/competence,cross-sector,0.8472,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,6,demostrar conocimientos especializados sobre una disciplina,skill/competence,cross-sector,0.8461,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,7,aplicar medidas de protección del medioambiente,skill/competence,cross-sector,0.846,http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,8,utilizar las tecnologías digitales con creatividad,skill/competence,cross-sector,0.8442,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,9,calcular con exactitud las horas de trabajo,skill/competence,cross-sector,0.843,http://data.europa.eu/esco/skill/bd556223-d9af-434b-a6bf-e70fa3ed3d12
EPN,Escuela Politécnica Nacional,Ingenieria En Ciencias De La Computacion,10,crear soluciones para problemas,skill/competence,cross-sector,0.8423,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041
EPN,Escuela Politécnica Nacional,Economia,1,predecir tendencias económicas,skill/competence,cross-sector,0.8302,http://data.europa.eu/esco/skill/f2a34d6b-131a-4b8f-a110-898b9c91d18f
EPN,Escuela Politécnica Nacional,Economia,2,analizar modelos de negocio,skill/competence,cross-sector,0.8286,http://data.europa.eu/esco/skill/3c1cbc5e-2220-4f45-bcc8-3d52c8c9cae0
EPN,Escuela Politécnica Nacional,Economia,3,actuar de enlace con profesionales del sector,skill/competence,cross-sector,0.828,http://data.europa.eu/esco/skill/d1317634-ccea-44d0-9cdc-c863f9bf856b
EPN,Escuela Politécnica Nacional,Economia,4,aplicar medidas de protección del medioambiente,skill/competence,cross-sector,0.8276,http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923
EPN,Escuela Politécnica Nacional,Economia,5,demostrar voluntad de aprender,skill/competence,transversal,0.8274,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b
EPN,Escuela Politécnica Nacional,Economia,6,realizar cálculos,skill/competence,transversal,0.8273,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186
EPN,Escuela Politécnica Nacional,Economia,7,gestionar recursos humanos,skill/competence,cross-sector,0.8264,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb
EPN,Escuela Politécnica Nacional,Economia,8,planificar procesos de fabricación,skill/competence,cross-sector,0.8264,http://data.europa.eu/esco/skill/7d0f33ea-e724-4d77-8b75-ee4fe66bb9ba
EPN,Escuela Politécnica Nacional,Economia,9,aplicar conocimientos de ciencias sociales y humanidades,skill/competence,transversal,0.8262,http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28
EPN,Escuela Politécnica Nacional,Economia,10,aplicar competencias matemáticas,skill/competence,cross-sector,0.8258,http://data.europa.eu/esco/skill/5dd01a1e-7ba0-4b7f-a76c-ed811c12bfde
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,1,evaluar las necesidades energéticas,skill/competence,cross-sector,0.8457,http://data.europa.eu/esco/skill/36fccad9-1d20-4104-bcc2-a8ea9d1ce5ea
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,2,planificar procesos de fabricación,skill/competence,cross-sector,0.8415,http://data.europa.eu/esco/skill/7d0f33ea-e724-4d77-8b75-ee4fe66bb9ba
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,3,realizar actividades de gestión energética en instalaciones,skill/competence,cross-sector,0.8411,http://data.europa.eu/esco/skill/885808f7-f42b-406e-95f2-28efcd45ddda
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,4,supervisar el funcionamiento de los equipos,skill/competence,cross-sector,0.8398,http://data.europa.eu/esco/skill/ca17f0df-59e4-4ed2-9360-fc5325bc7151
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,5,legislación ambiental en materia de agricultura y silvicultura,knowledge,cross-sector,0.8377,http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,6,aplicar medidas de protección del medioambiente,skill/competence,cross-sector,0.8368,http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,7,operar el equipo de empaquetado,skill/competence,cross-sector,0.8361,http://data.europa.eu/esco/skill/f8cd217b-b870-42aa-9bbe-d36b672cbb65
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,8,realizar trabajos técnicos difíciles,skill/competence,cross-sector,0.8355,http://data.europa.eu/esco/skill/2d780738-9b34-40a3-adbb-590001f6ff86
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,9,"aplicar conocimientos científicos, tecnológicos y de ingeniería",skill/competence,transversal,0.8355,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d
EPN,Escuela Politécnica Nacional,Ingenieria En Electricidad,10,mantener motores eléctricos,skill/competence,cross-sector,0.8349,http://data.europa.eu/esco/skill/2876970d-90af-45bd-9cfd-c0af757947ea
EPN,Escuela Politécnica Nacional,Ingenieria En Electronica Y Automatizacion,1,aplicar medidas de protección del medioambiente,skill/competence,cross-sector,0.8673,http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923
EPN,Escuela Politécnica Nacional,Ingenieria En Electronica Y Automatizacion,2,demostrar conocimientos especializados sobre una disciplina,skill/competence,cross-sector,0.8614,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db
